,Punjab,HP-JK,Haryana,Rajasthan,Uttar Pradesh,Uttaranchal,Assam,North East,Bihar,Jharkhand,Orissa,West Bengal,Gujarat,Madhya Pradesh,Chhattisgarh,Maharashtra,Andhra Pradesh,Telangana,Kerala,Tamil Nadu,Karnataka
Punjab,1.0,0.4798219055991735,0.2568926137523457,0.5168994019982592,0.2600211631005864,0.4421883980405409,0.33536413014223576,0.09726581053726954,0.5049475405158202,0.36488080089546243,0.3428511120897632,0.34425236812645255,0.5247589946476288,0.40448240671985936,0.13801847580488946,0.6563935921637112,0.13560225318207356,0.2091018269105174,0.2798063683092457,-0.009992472451013971,0.4596005573662414
HP-JK,0.4798219055991735,1.0,0.1852130665223679,0.7165760960850248,0.5740170909254527,0.555091995877838,0.5927731718555224,0.43353406622160423,0.6466593684281885,0.7036630504446191,0.5515450204402106,0.6592163604650813,0.718017230166791,0.7493350280879022,0.4372715369728433,0.6377476356791254,0.45220497007888466,0.6402124425212424,0.5540942330302011,0.45353247282272785,0.6787013222875123
Haryana,0.2568926137523457,0.1852130665223679,1.0,0.4048640725719706,0.3823360270887438,0.2032677955553988,0.4409492231208846,-0.0761789113839131,0.20695848570316155,0.4257532037826352,0.4936631448595012,0.15470090998966599,0.2556942389795483,0.3206627722040114,0.16290227089548462,0.5194106715474982,0.12572407290785617,0.3384600157976028,0.08084492789413215,0.1312204950761263,-0.15755430731390735
Rajasthan,0.5168994019982592,0.7165760960850248,0.4048640725719706,1.0,0.6928462203043998,0.7263110531515189,0.7871664448504497,0.42594046793290785,0.7574667311231512,0.8643911628174236,0.7644030442052374,0.5982356703049244,0.9122193137275298,0.8795761826325467,0.5620998136655415,0.8222228097471254,0.6448770407976232,0.8001131952222752,0.7229131228573165,0.24454532537656054,0.4917902650803691
Uttar Pradesh,0.2600211631005864,0.5740170909254527,0.3823360270887438,0.6928462203043998,1.0,0.6353342283451225,0.7086783752390873,0.27632932269145943,0.5473555062085054,0.5863398162729373,0.5075747041065074,0.4649006925246415,0.7072391381125523,0.6522712928987444,0.47337317631179016,0.5845614365621097,0.6058330201927746,0.5796401418332817,0.6173428719191075,0.3036158719870552,0.20125477064528835
Uttaranchal,0.4421883980405409,0.555091995877838,0.2032677955553988,0.7263110531515189,0.6353342283451225,1.0,0.5940073712282258,0.4919087466276001,0.7069280058265858,0.649267571664818,0.6440408539537351,0.43353351583555866,0.7077293135108939,0.586781410621006,0.5447060507222569,0.6010815579548955,0.5498794290005395,0.5487488080042323,0.6340290383556801,0.17387217212116096,0.44797661859843146
Assam,0.33536413014223576,0.5927731718555224,0.4409492231208846,0.7871664448504497,0.7086783752390873,0.5940073712282258,1.0,0.5107733107689575,0.6185807118038742,0.6753201438685862,0.6332482609045894,0.4985910813244949,0.8294817488748288,0.6838662642396245,0.5822109937063142,0.6852948425340895,0.5684352637380135,0.6844431801370878,0.567182266531386,0.25701210857332457,0.26279454876613
North East,0.09726581053726954,0.43353406622160423,-0.0761789113839131,0.42594046793290785,0.27632932269145943,0.4919087466276001,0.5107733107689575,1.0,0.5123273005269081,0.4679461560059418,0.21099705025617702,0.2976407466682643,0.4887982281212644,0.3812867828880099,0.24659007007483297,0.29169423495532787,0.3213520385909297,0.45998640056144224,0.4143971996407909,0.08958547495344518,0.2932114654148818
Bihar,0.5049475405158202,0.6466593684281885,0.20695848570316155,0.7574667311231512,0.5473555062085054,0.7069280058265858,0.6185807118038742,0.5123273005269081,1.0,0.6699436575783541,0.578392686133443,0.5338750453484237,0.78826144334283,0.7558803006383323,0.35579719801559684,0.7354251822058812,0.6717871618663208,0.5620479633660495,0.6225107935870395,0.16434285427174042,0.4794658794469105
Jharkhand,0.36488080089546243,0.7036630504446191,0.4257532037826352,0.8643911628174236,0.5863398162729373,0.649267571664818,0.6753201438685862,0.4679461560059418,0.6699436575783541,1.0,0.7113450423276734,0.5119459757756827,0.7667817874936207,0.7603268818710573,0.5311559399780817,0.7329815012674912,0.4631612016449854,0.6835135206823293,0.5817305878104523,0.2844169590030377,0.47267271900586744
Orissa,0.3428511120897632,0.5515450204402106,0.4936631448595012,0.7644030442052374,0.5075747041065074,0.6440408539537351,0.6332482609045894,0.21099705025617702,0.578392686133443,0.7113450423276734,1.0,0.36342955772753377,0.6654900833175306,0.6161605766917311,0.67830911289867,0.6403468174414354,0.44147229799176174,0.7556927282228161,0.46425765561556076,0.1551041712634178,0.18751984430377555
West Bengal,0.34425236812645255,0.6592163604650813,0.15470090998966599,0.5982356703049244,0.4649006925246415,0.43353351583555866,0.4985910813244949,0.2976407466682643,0.5338750453484237,0.5119459757756827,0.36342955772753377,1.0,0.5910373593804849,0.6768150967388094,0.39781313974431903,0.5003906427695697,0.3154435605367006,0.5392320214180917,0.492051757727755,0.638905179351145,0.654411017292018
Gujarat,0.5247589946476288,0.718017230166791,0.2556942389795483,0.9122193137275298,0.7072391381125523,0.7077293135108939,0.8294817488748288,0.4887982281212644,0.78826144334283,0.7667817874936207,0.6654900833175306,0.5910373593804849,1.0,0.8490717340057587,0.5792473512412619,0.7986352146164397,0.7144794400029769,0.7617357692392293,0.7756103273875328,0.22743720044908022,0.5046269434039307
Madhya Pradesh,0.40448240671985936,0.7493350280879022,0.3206627722040114,0.8795761826325467,0.6522712928987444,0.586781410621006,0.6838662642396245,0.3812867828880099,0.7558803006383323,0.7603268818710573,0.6161605766917311,0.6768150967388094,0.8490717340057587,1.0,0.4095411908263734,0.698659172455351,0.7209503112526211,0.8078161806223498,0.7262711895462324,0.421651455081835,0.5617437679258747
Chhattisgarh,0.13801847580488946,0.4372715369728433,0.16290227089548462,0.5620998136655415,0.47337317631179016,0.5447060507222569,0.5822109937063142,0.24659007007483297,0.35579719801559684,0.5311559399780817,0.67830911289867,0.39781313974431903,0.5792473512412619,0.4095411908263734,1.0,0.42118689969347917,0.2726265397363416,0.5986856493912748,0.2585814506656281,0.1559675742870844,0.2772693641473593
Maharashtra,0.6563935921637112,0.6377476356791254,0.5194106715474982,0.8222228097471254,0.5845614365621097,0.6010815579548955,0.6852948425340895,0.29169423495532787,0.7354251822058812,0.7329815012674912,0.6403468174414354,0.5003906427695697,0.7986352146164397,0.698659172455351,0.42118689969347917,1.0,0.4931174461519803,0.5775123944135354,0.5464682106762291,0.15698081595481844,0.3850568040149295
Andhra Pradesh,0.13560225318207356,0.45220497007888466,0.12572407290785617,0.6448770407976232,0.6058330201927746,0.5498794290005395,0.5684352637380135,0.3213520385909297,0.6717871618663208,0.4631612016449854,0.44147229799176174,0.3154435605367006,0.7144794400029769,0.7209503112526211,0.2726265397363416,0.4931174461519803,1.0,0.5270385789498502,0.6755243949921831,0.10514651593326084,0.2856920617933076
Telangana,0.2091018269105174,0.6402124425212424,0.3384600157976028,0.8001131952222752,0.5796401418332817,0.5487488080042323,0.6844431801370878,0.45998640056144224,0.5620479633660495,0.6835135206823293,0.7556927282228161,0.5392320214180917,0.7617357692392293,0.8078161806223498,0.5986856493912748,0.5775123944135354,0.5270385789498502,1.0,0.6387888627733981,0.31084708722923143,0.3132717287344133
Kerala,0.2798063683092457,0.5540942330302011,0.08084492789413215,0.7229131228573165,0.6173428719191075,0.6340290383556801,0.567182266531386,0.4143971996407909,0.6225107935870395,0.5817305878104523,0.46425765561556076,0.492051757727755,0.7756103273875328,0.7262711895462324,0.2585814506656281,0.5464682106762291,0.6755243949921831,0.6387888627733981,1.0,0.33942750754460604,0.3937668371317228
Tamil Nadu,-0.009992472451013971,0.45353247282272785,0.1312204950761263,0.24454532537656054,0.3036158719870552,0.17387217212116096,0.25701210857332457,0.08958547495344518,0.16434285427174042,0.2844169590030377,0.1551041712634178,0.638905179351145,0.22743720044908022,0.421651455081835,0.1559675742870844,0.15698081595481844,0.10514651593326084,0.31084708722923143,0.33942750754460604,1.0,0.4025722639538075
Karnataka,0.4596005573662414,0.6787013222875123,-0.15755430731390735,0.4917902650803691,0.20125477064528835,0.44797661859843146,0.26279454876613,0.2932114654148818,0.4794658794469105,0.47267271900586744,0.18751984430377555,0.654411017292018,0.5046269434039307,0.5617437679258747,0.2772693641473593,0.3850568040149295,0.2856920617933076,0.3132717287344133,0.3937668371317228,0.4025722639538075,1.0
